mode,entry_time,exit_time,entry_price,exit_price,leverage,net_pnl,return_on_margin_pct,exit_reason,hold_bars,balance_after_trade
SWING,2024-01-15 00:00:00,2024-01-16 00:00:00,41858.37,42518.29464000001,3.0,131130.96173093087,4.577331792996274,TIMEOUT,288,2995921.360617307
SWING,2024-01-16 00:00:00,2024-01-17 00:00:00,42535.30536,43138.47058,3.0,122707.63277937761,4.101975851267306,TIMEOUT,288,3114135.1113557587
SWING,2024-01-17 00:00:00,2024-01-18 00:00:00,43155.729419999996,42763.84552,3.0,-89330.09668731614,-2.872845587231371,TIMEOUT,288,3020133.812001409
SWING,2024-01-18 00:00:00,2024-01-18 19:55:00,42780.95448,41061.50235753984,3.0,-367951.0217405168,-12.201571200000021,SL,239,2647652.5895428904
SNIPER,2024-01-18 20:15:00,2024-01-19 00:15:00,41136.425639999994,41249.648420000005,4.0,23791.749447576272,0.900398654957237,TIMEOUT,48,2666149.033811381
SWING,2024-01-19 08:00:00,2024-01-20 08:00:00,41286.65568,41656.36706,3.0,67487.61700277246,2.5350796090684473,TIMEOUT,288,2729637.427263437
SWING,2024-01-20 08:00:00,2024-01-21 08:00:00,41673.03294,41676.76298,3.0,-3356.8125432169,-0.123161240853024,TIMEOUT,288,2722186.1585793244
SWING,2024-01-21 08:00:00,2024-01-22 08:00:00,41693.43702,40958.3067,3.0,-147780.40132683975,-5.43689506567331,TIMEOUT,288,2570322.4780146154
SWING,2024-01-22 08:00:00,2024-01-23 08:00:00,40974.6933,39819.13458,3.0,-220877.83843204327,-8.606299590947769,TIMEOUT,288,2345589.15586555
SWING,2024-01-23 08:00:00,2024-01-24 08:00:00,39835.06542,40035.991200000004,3.0,31908.984947842288,1.3624261626730751,TIMEOUT,288,2373979.757079594
SWING,2024-01-24 08:00:00,2024-01-25 08:00:00,40052.008799999996,40107.37692,3.0,6270.096893891777,0.2645143097542198,TIMEOUT,288,2376688.884337866
SWING,2024-01-25 08:00:00,2024-01-26 08:00:00,40123.42308,39972.004,3.0,-30413.568214336694,-1.2815836898430428,TIMEOUT,288,2342710.2827970227
SWING,2024-01-26 08:00:00,2024-01-27 08:00:00,39987.996,41611.975940000004,3.0,281344.8149073962,12.027414067186598,TIMEOUT,288,2620541.0322802234
SWING,2024-01-27 08:00:00,2024-01-28 08:00:00,41628.62406,42323.43362,3.0,127028.49576226612,4.854696918776817,TIMEOUT,288,2743638.7164940694
SWING,2024-01-28 08:00:00,2024-01-29 08:00:00,42340.36638,42057.486820000006,3.0,-58990.78846977398,-2.153323148050619,TIMEOUT,288,2680532.469949554
SNIPER,2024-01-29 14:50:00,2024-01-29 18:50:00,41833.66506,42922.71374000001,4.0,273079.49949802447,10.207925330939267,TIMEOUT,48,2948250.90450768
SNIPER,2024-01-30 13:15:00,2024-01-30 17:15:00,43243.54698,43425.413179999996,4.0,43588.31496041868,1.4814094087524061,TIMEOUT,48,2985942.717659083
SWING,2024-01-31 00:00:00,2024-02-01 00:00:00,42995.19732,42587.08088,3.0,-89331.16208656794,-2.996218232776316,TIMEOUT,288,2892132.641496027
SNIPER,2024-02-08 16:50:00,2024-02-08 20:50:00,45012.600719999995,45417.31472,4.0,97981.49698502368,3.394652488677683,TIMEOUT,48,2984329.8731980585
SNIPER,2024-03-15 09:10:00,2024-03-15 13:10:00,66178.233,67986.40000000001,4.0,319387.822388198,10.72360937772404,TIMEOUT,48,3297749.0358398603
SWING,2024-03-16 00:00:00,2024-03-16 18:10:00,69633.924,66835.197326592,3.0,-401773.63081040664,-12.201571200000016,SL,218,2891028.781475694
SWING,2024-03-17 00:00:00,2024-03-18 00:00:00,66065.2104,68342.22881999999,3.0,294000.8759321157,10.184697628345068,TIMEOUT,288,3180693.114235596
SWING,2024-03-20 16:00:00,2024-03-21 16:00:00,63766.05066,66432.7108,3.0,393482.6837040533,12.389557251905865,TIMEOUT,288,3569404.758268296
SWING,2024-03-22 08:00:00,2024-03-22 13:35:00,66308.05896,63643.00545427968,3.0,-434870.1778017989,-12.201571199999982,SL,67,3129180.4733290942
SWING,2024-03-22 16:00:00,2024-03-23 16:00:00,63594.816419999996,65090.77924,3.0,215698.16027483775,6.903475060208411,TIMEOUT,288,3340184.862893938
SWING,2024-03-23 16:00:00,2024-03-24 16:00:00,65116.82076,65848.02776,3.0,107294.65789404442,3.2170627096198925,TIMEOUT,288,3442469.2434936417
SNIPER,2024-03-24 23:15:00,2024-03-25 03:15:00,67645.22634,66864.42444,4.0,-165414.1814817101,-4.814732132774419,TIMEOUT,48,3270170.1235249443
SNIPER,2024-03-25 14:30:00,2024-03-25 18:30:00,69263.74998,70485.80002,4.0,223684.0558125512,6.853842827353092,TIMEOUT,48,3487313.8390904455
SNIPER,2024-04-02 05:20:00,2024-04-02 09:20:00,66406.17857999999,66416.91396,4.0,-4711.244205706605,-0.13536738574958787,TIMEOUT,48,3475627.9672065577
SWING,2024-04-03 00:00:00,2024-04-04 00:00:00,65536.50468,66002.89678000001,3.0,68849.19571777682,1.983889682824073,TIMEOUT,288,3539263.7209735247
SWING,2024-04-04 00:00:00,2024-04-05 00:00:00,66029.30322,68330.93108000001,3.0,364070.6146905024,10.302073248774809,TIMEOUT,288,3898025.440082567
SWING,2024-04-05 00:00:00,2024-04-06 00:00:00,68358.26892,67708.4556,3.0,-116779.84707701887,-3.000372414053231,TIMEOUT,288,3775398.554845424
SWING,2024-04-06 00:00:00,2024-04-07 00:00:00,67735.5444,68852.12681999999,3.0,180678.10144312342,4.792858902260442,TIMEOUT,288,3950413.5584562793
SWING,2024-04-07 00:00:00,2024-04-08 00:00:00,68879.67318,69271.143,3.0,61303.792140721824,1.5541635087357355,TIMEOUT,288,4005791.7302593165
